,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
958,Yuba,19.0,18.0,19.0,18.0,22.0
959,Los Angeles,16.0,16.0,18.0,17.0,148.0
960,Los Angeles,19.0,19.0,19.0,19.0,66.0
962,Solano,0.0,0.0,0.0,0.0,1.0
964,Los Angeles,25.0,24.0,22.0,23.0,24.0
965,Los Angeles,18.0,16.0,17.0,18.0,26.0
966,Los Angeles,0.0,0.0,0.0,0.0,5.0
967,Alameda,14.0,13.0,15.0,14.0,45.0
968,Kern,18.0,16.0,19.0,17.0,16.0
969,Humboldt,0.0,0.0,0.0,0.0,9.0
970,Fresno,17.0,15.0,17.0,17.0,51.0
971,Mendocino,0.0,0.0,0.0,0.0,8.0
972,Fresno,16.0,15.0,17.0,16.0,82.0
973,San Mateo,28.0,27.0,27.0,26.0,133.0
974,Merced,20.0,19.0,20.0,20.0,52.0
976,San Joaquin,20.0,19.0,19.0,20.0,65.0
977,Sacramento,20.0,19.0,19.0,19.0,27.0
978,San Diego,0.0,0.0,0.0,0.0,2.0
980,Contra Costa,22.0,20.0,20.0,20.0,21.0
981,Orange,19.0,17.0,19.0,19.0,79.0
982,San Joaquin,26.0,26.0,24.0,24.0,44.0
983,Los Angeles,19.0,19.0,19.0,18.0,26.0
984,San Bernardino,20.0,19.0,20.0,20.0,47.0
986,Lake,0.0,0.0,0.0,0.0,11.0
987,San Joaquin,0.0,0.0,0.0,0.0,10.0
988,Monterey,0.0,0.0,0.0,0.0,1.0
989,Alameda,0.0,0.0,0.0,0.0,5.0
990,Los Angeles,24.0,23.0,23.0,23.0,71.0
991,San Mateo,27.0,27.0,28.0,27.0,82.0
992,Santa Clara,26.0,27.0,27.0,26.0,72.0
993,Madera,22.0,20.0,20.0,21.0,17.0
994,Madera,0.0,0.0,0.0,0.0,14.0
995,Los Angeles,28.0,28.0,27.0,27.0,269.0
996,Sacramento,29.0,30.0,29.0,28.0,71.0
997,San Diego,23.0,22.0,23.0,22.0,65.0
998,Kern,0.0,0.0,0.0,0.0,13.0
999,Contra Costa,29.0,29.0,28.0,28.0,149.0
1001,San Diego,22.0,21.0,21.0,21.0,51.0
1002,Santa Clara,0.0,0.0,0.0,0.0,2.0
1003,San Francisco,17.0,15.0,17.0,16.0,98.0
1004,San Diego,23.0,21.0,21.0,22.0,178.0
1005,Tulare,21.0,21.0,21.0,21.0,18.0
1006,Alameda,31.0,32.0,32.0,30.0,157.0
1007,Orange,26.0,25.0,25.0,25.0,148.0
1009,San Diego,27.0,25.0,25.0,24.0,92.0
1010,Solano,20.0,20.0,18.0,20.0,15.0
1011,Stanislaus,20.0,19.0,20.0,19.0,163.0
1012,Modoc,17.0,15.0,17.0,18.0,40.0
1013,San Bernardino,0.0,0.0,0.0,0.0,1.0
1014,Kern,16.0,13.0,16.0,16.0,27.0
1022,Tulare,19.0,17.0,18.0,19.0,105.0
1023,San Diego,0.0,0.0,0.0,0.0,1.0
1024,Los Angeles,21.0,19.0,19.0,19.0,53.0
1025,Santa Clara,31.0,32.0,32.0,31.0,212.0
1026,San Bernardino,19.0,17.0,19.0,19.0,257.0
1027,Ventura,0.0,0.0,0.0,0.0,3.0
1028,San Diego,26.0,24.0,25.0,24.0,22.0
1029,Orange,0.0,0.0,0.0,0.0,1.0
1030,Contra Costa,27.0,27.0,26.0,26.0,293.0
1031,Los Angeles,18.0,18.0,19.0,18.0,35.0
1032,Monterey,0.0,0.0,0.0,0.0,1.0
1033,Monterey,23.0,22.0,22.0,21.0,45.0
1034,Sacramento,21.0,20.0,21.0,21.0,117.0
1035,Sonoma,24.0,23.0,25.0,24.0,47.0
1036,San Diego,18.0,18.0,18.0,19.0,62.0
1037,Ventura,25.0,24.0,25.0,24.0,108.0
1038,Riverside,21.0,19.0,20.0,19.0,39.0
1040,Los Angeles,17.0,15.0,16.0,16.0,51.0
1041,San Luis Obispo,26.0,25.0,23.0,24.0,35.0
1042,San Diego,21.0,21.0,21.0,20.0,55.0
1043,San Diego,19.0,18.0,20.0,19.0,27.0
1044,San Diego,0.0,0.0,0.0,0.0,13.0
1046,San Joaquin,28.0,27.0,26.0,26.0,52.0
1048,San Diego,0.0,0.0,0.0,0.0,1.0
1050,Santa Clara,28.0,28.0,27.0,27.0,174.0
1051,Los Angeles,21.0,19.0,19.0,19.0,51.0
1052,San Diego,27.0,26.0,26.0,25.0,134.0
1053,Contra Costa,19.0,18.0,19.0,19.0,30.0
1054,Alameda,22.0,21.0,20.0,21.0,38.0
1055,San Diego,0.0,0.0,0.0,0.0,7.0
1057,Santa Clara,0.0,0.0,0.0,0.0,14.0
1058,Siskiyou,0.0,0.0,0.0,0.0,8.0
1059,Tulare,22.0,20.0,21.0,21.0,20.0
1060,San Diego,0.0,0.0,0.0,0.0,10.0
1061,Riverside,0.0,0.0,0.0,0.0,1.0
1062,Riverside,22.0,21.0,21.0,21.0,151.0
1063,Riverside,23.0,22.0,22.0,22.0,142.0
1064,Sacramento,21.0,20.0,21.0,21.0,3065.0
1065,San Joaquin,22.0,21.0,21.0,21.0,1348.0
1066,Kern,21.0,20.0,20.0,20.0,1257.0
1067,Shasta,26.0,24.0,24.0,24.0,173.0
1068,Sutter,23.0,22.0,22.0,22.0,196.0
1069,Calaveras,26.0,24.0,24.0,24.0,31.0
1070,Mono,26.0,24.0,24.0,24.0,20.0
1071,Ventura,25.0,24.0,24.0,24.0,1552.0
1072,Marin,27.0,26.0,25.0,25.0,753.0
1073,El Dorado,25.0,24.0,25.0,24.0,465.0
1074,Mendocino,25.0,23.0,22.0,22.0,68.0
1075,Glenn,21.0,19.0,19.0,20.0,72.0
1076,Sierra,0.0,0.0,0.0,0.0,3.0
1077,San Mateo,25.0,25.0,25.0,24.0,1434.0
1078,San Benito,21.0,20.0,21.0,21.0,123.0
1079,Sonoma,24.0,23.0,23.0,23.0,837.0
1080,Kings,18.0,17.0,18.0,18.0,282.0
1081,Trinity,24.0,24.0,23.0,23.0,15.0
1082,Inyo,23.0,22.0,22.0,22.0,28.0
1083,Madera,19.0,18.0,19.0,19.0,375.0
1084,Humboldt,25.0,24.0,24.0,24.0,107.0
1085,Santa Cruz,23.0,22.0,22.0,22.0,567.0
1086,Stanislaus,22.0,21.0,21.0,21.0,753.0
1087,Santa Barbara,23.0,23.0,23.0,23.0,824.0
1088,Lake,21.0,19.0,19.0,19.0,65.0
1089,Orange,25.0,24.0,24.0,24.0,8501.0
1090,Contra Costa,25.0,25.0,24.0,24.0,3183.0
1091,Amador,24.0,23.0,23.0,22.0,37.0
1092,San Diego,24.0,23.0,23.0,23.0,8081.0
1093,Riverside,21.0,20.0,20.0,20.0,4767.0
1094,Modoc,17.0,15.0,17.0,18.0,55.0
1095,Tuolumne,26.0,23.0,23.0,23.0,23.0
1096,Napa,22.0,22.0,22.0,22.0,209.0
1097,Butte,23.0,22.0,23.0,23.0,226.0
1098,Yuba,21.0,19.0,20.0,20.0,64.0
1099,Solano,23.0,22.0,22.0,22.0,436.0
1100,Plumas,0.0,0.0,0.0,0.0,9.0
1101,San Bernardino,18.0,17.0,19.0,18.0,5418.0
1102,Lassen,22.0,21.0,21.0,21.0,27.0
