,cname,pctbothbenchmark12,numtsttakr12
795,Sacramento,0.7034,145.0
796,San Diego,0.8275,255.0
797,San Diego,0.3043,92.0
798,San Diego,0.5126,119.0
800,San Joaquin,0.3333,75.0
801,Kern,0.5323,62.0
803,Monterey,0.2888,232.0
804,Riverside,0.1931,145.0
805,Riverside,0.34740000000000004,213.0
806,San Joaquin,0.45770000000000005,142.0
808,Los Angeles,0.25,20.0
809,Los Angeles,0.18030000000000002,183.0
810,Los Angeles,0.25,192.0
811,Los Angeles,0.6167,240.0
812,Los Angeles,0.6856,299.0
813,Riverside,0.0,7.0
814,Riverside,0.5385,221.0
815,Kern,0.40630000000000005,128.0
816,Los Angeles,0.09759999999999999,41.0
817,San Joaquin,0.0,2.0
818,San Joaquin,0.0,7.0
819,Contra Costa,0.25,44.0
820,Contra Costa,0.013500000000000002,74.0
821,Los Angeles,0.8454999999999999,369.0
822,Placer,0.7876000000000001,193.0
824,San Diego,0.0,8.0
826,San Francisco,0.047599999999999996,42.0
827,San Mateo,0.7219,151.0
828,Contra Costa,0.7651,149.0
829,Fresno,0.0,1.0
830,Kings,0.0,2.0
832,Los Angeles,0.0,6.0
833,Los Angeles,0.0,11.0
834,Los Angeles,0.0,12.0
835,Orange,0.8023,258.0
836,Santa Clara,0.7404999999999999,185.0
837,Contra Costa,0.5652,115.0
838,Lassen,0.0,6.0
840,Riverside,0.4581,310.0
841,San Bernardino,0.3593,270.0
842,Santa Clara,0.5,160.0
843,Sonoma,0.7037,27.0
844,Ventura,0.5714,49.0
845,Siskiyou,0.0,10.0
846,Tulare,0.2727,33.0
847,Fresno,0.0,3.0
848,Los Angeles,0.0759,79.0
849,Sacramento,0.5455,77.0
850,San Bernardino,0.23600000000000002,89.0
851,Santa Clara,0.5571,140.0
852,Solano,0.4754,122.0
853,Sonoma,0.6881999999999999,93.0
854,Tulare,0.40590000000000004,101.0
855,Solano,0.5,32.0
857,Fresno,0.08789999999999999,91.0
858,Riverside,0.18289999999999998,82.0
859,San Luis Obispo,0.0,1.0
860,Santa Clara,0.7454999999999999,55.0
862,Orange,0.6017,118.0
863,San Luis Obispo,0.7868,136.0
